Class,WorkOrderType,Param_Temperature,Param_Time,Param_Quality,Param_Boil-time,Param_Amount,Param_StirTume,Param_Pressure,Param_Humidity,Param_PercentContamination,Param_OriginalGravity,Param_FinalGravity,Param_AlcoholbyVol,Param_PrimaryFerment,Param_SecondaryFerment,Material_Pale-2-row,Matarial_Black-Patent-Malt,Matarial_Chocolate_Malt,Matarial_Roasted_Barley,Material_Carapils,Material_Rolled-oats,Material_Torrified-Wheat,Material_Northern_Brewer_Hops,Material_Fuggle,Material_Irish_Moss,Material_Yeast Irish Ale yeast starter,Material_Grapes,Material_Barley,Material_Wheat,Material_magnesium stearate,Material_yellow color 5,Material_Essence 5,Material_Vanilla extract,Material_Blackberry extract,Material_Molasses,Material_Beer,Material_sugar,Material_Milk,Material_Yoghurt
0,2,48,84,84,84,50,21,95,76,46,47,30,31,37,96,48,,96,,49,7,22,63,23,93,,96,21,60,,85,,7,48,,98,,14,
1,3,52,,20,4,91,69,17,80,81,41,97,40,1,98,42,,52,,46,6,36,94,,67,86,38,,56,77,91,,23,13,9,49,71,31,
0,4,,33,52,51,,21,98,19,27,42,97,74,,,40,,61,84,54,66,11,81,,44,78,8,83,50,,98,,32,6,,5,,99,
1,4,9,43,72,71,98,40,77,88,,35,,51,20,85,78,90,79,10,49,39,69,83,,66,89,47,25,38,,66,89,40,82,11,83,,25,31
1,1,9,78,42,46,64,62,75,71,67,50,91,49,7,96,92,,47,2,11,2,15,85,,70,42,36,,64,,62,,37,77,,11,,88,
0,3,88,77,,24,85,6,,32,,34,,55,95,24,33,88,9,26,61,,40,3,30,4,,29,66,55,,58,,7,60,40,23,,50,
1,2,93,93,56,32,73,5,52,70,,50,,23,43,61,66,,46,,100,91,74,13,66,66,64,93,,94,,11,,21,59,,94,,11,
0,4,53,90,27,76,49,73,99,50,39,11,59,97,69,92,1,,12,88,89,24,39,8,78,37,,11,,48,,1,,11,45,31,14,,70,75
0,3,22,97,,56,63,11,,51,45,43,31,57,64,22,59,83,79,21,35,,82,56,99,28,25,14,,78,,90,,41,5,56,34,,12,
0,2,55,41,53,20,79,72,85,24,44,67,49,95,2,38,7,45,18,88,89,62,72,81,34,7,37,86,,59,,30,6,67,22,,57,,77,
1,1,22,24,32,50,18,27,61,76,15,3,37,46,39,23,48,,66,,57,29,89,84,,38,96,10,4,61,,51,14,28,13,94,76,,72,
1,3,34,37,89,83,88,9,88,96,51,24,77,28,100,59,70,,36,44,40,82,15,51,,31,5,46,55,11,,67,,32,66,13,47,,37,
1,3,90,89,,25,15,34,,15,,54,,24,61,69,49,,43,52,28,,4,53,,31,,19,55,11,,25,,84,5,,1,,83,
1,4,85,,10,29,65,84,82,71,1,31,26,64,97,62,92,,67,,55,16,68,47,23,28,78,41,95,87,22,35,,6,63,,61,29,100,
0,3,59,60,49,18,73,15,70,7,,78,,63,97,65,18,,16,47,36,31,20,39,,92,,100,94,34,51,95,,97,34,41,74,28,8,18
1,4,15,33,15,53,50,24,91,5,20,35,1,92,60,59,25,,98,,19,70,28,73,,64,5,63,78,54,,67,31,33,70,7,76,,38,
1,2,54,66,7,3,88,75,26,68,85,61,21,55,88,50,91,,20,3,9,23,72,19,96,46,78,86,48,50,,70,7,11,58,,59,,73,
0,3,,95,95,59,,61,92,36,67,100,29,85,,,9,,11,87,76,67,56,17,64,13,37,20,74,41,20,3,41,34,29,,49,75,73,
1,2,35,23,25,42,49,59,88,58,55,66,31,20,16,80,71,,39,,37,7,25,43,48,7,,83,35,28,95,98,,57,24,,30,28,31,
0,4,16,15,,54,25,8,,94,83,15,68,61,89,55,99,,8,,69,,44,53,,99,21,15,79,77,,2,,56,5,,12,,42,
1,1,97,,31,55,68,38,24,34,69,77,17,35,44,72,17,,37,,46,33,73,42,92,45,,84,65,52,,2,,1,20,38,14,,41,
1,2,100,29,34,4,25,98,13,80,49,90,64,67,75,83,60,92,65,,55,83,37,53,1,49,59,86,99,50,,96,,83,79,15,61,,24,
1,3,95,49,,24,64,59,,83,,56,,77,29,33,58,,81,,80,,35,6,45,37,71,22,60,32,74,48,8,53,97,,67,48,100,
1,4,86,43,98,30,25,34,14,29,25,9,38,9,73,54,26,,30,,43,1,28,71,35,40,,65,39,21,,22,,86,26,,8,,7,
1,2,75,99,19,18,5,81,56,92,3,39,40,60,16,45,7,,67,,94,44,33,67,,88,,47,100,3,,47,,53,14,,36,,16,
1,4,16,25,66,95,96,1,56,41,77,82,82,42,51,35,32,,47,,3,21,56,8,7,4,19,35,,42,,29,,47,55,,56,,92,
1,4,9,5,75,53,19,54,84,42,15,89,62,10,81,84,35,55,51,92,100,43,91,10,29,74,,33,26,70,,26,,33,91,,37,,85,
0,2,22,8,6,89,8,7,48,40,10,99,68,27,35,75,89,,26,99,7,11,64,8,74,38,,91,67,27,72,9,,89,20,,4,56,31,
1,2,,95,17,52,,2,31,54,99,22,35,13,,,53,,18,,76,46,58,86,14,30,62,95,59,79,,2,,92,21,,1,,74,
1,2,51,27,,8,43,29,,67,63,45,96,69,49,99,10,,8,48,64,,13,34,32,73,,27,,84,,70,,19,43,,63,,60,
1,2,3,64,,37,13,62,,96,100,14,6,61,4,85,30,8,44,5,95,,29,77,,13,,90,68,21,,59,,11,39,,43,,84,
0,4,91,69,,20,54,81,,81,7,67,88,43,43,8,69,,36,,12,,26,24,,17,72,27,64,64,32,95,,86,41,83,74,57,39,
1,1,16,3,50,85,32,82,7,55,45,73,23,46,16,97,8,,19,,30,69,36,66,,98,21,19,10,6,,97,,61,64,55,12,,37,
1,2,52,5,95,13,24,23,98,92,98,42,41,33,34,10,22,,2,42,50,45,2,85,6,51,24,17,50,42,84,34,40,73,90,86,17,11,92,23
0,2,27,7,16,64,41,92,56,7,72,18,88,59,73,5,82,33,27,,42,17,55,79,54,40,96,57,49,61,,56,,21,69,,13,,11,
1,4,20,3,74,80,54,33,87,8,48,84,80,23,6,69,37,,89,,44,56,41,13,,42,,68,15,85,,63,64,87,53,,9,,17,57
0,3,85,69,9,87,3,40,14,97,97,94,67,55,54,59,45,,49,,27,13,69,57,17,67,,83,90,13,15,6,,6,27,,75,48,20,
0,3,55,26,33,67,46,91,14,74,,37,,34,1,63,7,,40,3,54,15,78,22,,26,,25,95,55,,35,,77,35,,47,,58,
0,1,62,1,17,16,96,7,78,56,8,69,23,51,29,5,52,40,16,,51,12,83,48,92,65,,70,,99,,5,,71,76,,36,,99,
0,4,21,33,,56,68,78,,42,96,94,95,50,60,20,25,,21,63,100,,33,4,,71,,14,32,21,,33,17,3,36,,42,,18,
1,1,35,,52,57,75,75,65,78,37,34,77,67,83,62,85,,97,33,63,62,3,47,95,72,73,76,53,5,,13,,64,94,56,64,,88,
1,3,17,72,64,25,96,68,2,57,39,31,47,94,1,99,51,,51,,67,46,38,30,7,89,64,62,,79,13,23,78,41,96,,19,20,32,
1,1,24,57,27,80,56,24,16,31,74,30,76,74,82,3,74,,15,86,16,66,81,89,,95,,72,88,55,,74,52,96,57,31,58,,85,
1,2,11,55,94,89,3,61,27,65,27,80,87,72,66,89,94,,38,,58,97,25,39,,27,38,85,,71,23,17,,65,40,89,13,60,52,
1,3,76,13,29,25,68,43,89,38,,9,,66,23,62,15,,39,,9,44,72,90,39,60,21,21,,33,,97,,17,45,,71,,12,
1,1,77,7,49,4,78,99,39,16,,71,,92,80,7,86,,3,,89,95,5,70,,19,63,100,92,52,,78,,42,96,18,44,,58,
1,3,95,,15,41,56,96,36,42,74,75,100,8,1,56,2,,64,,12,90,16,27,47,57,13,34,10,1,22,74,,20,98,42,35,94,80,
0,3,75,84,53,58,88,96,37,87,78,44,57,83,92,52,6,23,36,,59,36,57,24,,65,,8,38,34,,28,91,97,1,,7,,69,
0,3,28,21,,77,24,15,,62,7,96,86,46,27,96,90,,48,,62,,35,96,38,50,91,19,,15,,63,5,47,69,,45,,89,
0,3,74,19,,56,45,18,,79,21,15,14,81,56,84,8,,97,,96,,43,40,70,63,,62,54,21,,99,,12,22,78,89,,86,92
1,4,90,47,100,1,74,83,90,9,82,47,98,77,89,17,42,,68,,93,89,3,24,9,58,55,37,,99,,97,,30,79,,98,,15,6
1,3,65,18,31,27,23,39,19,92,61,45,34,45,78,18,18,,86,,77,14,39,16,82,72,,45,37,1,,37,,35,40,20,65,,98,
0,4,99,24,98,43,94,96,20,13,,28,,32,19,55,74,,63,15,20,5,100,22,27,15,63,74,47,3,,17,,59,26,,39,,99,
0,1,,44,48,37,,67,55,36,52,29,12,40,,,63,,27,,19,51,72,61,,74,58,44,,51,,41,58,41,100,,7,,67,
0,4,70,20,,98,60,90,,83,51,47,53,69,63,86,5,,31,,39,,20,84,,36,1,49,40,38,,20,,14,71,,22,,76,
0,2,68,79,66,62,52,11,14,35,23,29,83,93,73,38,93,,68,,78,67,35,43,86,10,,26,17,4,20,29,,64,45,,19,39,99,
1,3,81,97,5,83,74,19,30,86,57,56,34,97,86,19,97,21,81,81,38,92,66,57,88,36,64,75,25,26,,86,,82,26,,5,,84,
0,4,,93,1,73,,64,51,59,,15,,33,,,74,43,1,45,72,29,26,33,92,66,92,26,15,42,,20,,39,100,,76,,31,
1,2,26,81,81,73,10,82,61,21,97,81,2,91,22,67,94,,59,7,21,79,90,26,15,93,61,61,52,8,,63,,71,23,65,97,,28,
0,4,75,,,81,99,49,,79,55,90,95,62,71,31,100,34,19,,15,,14,26,55,36,80,9,10,68,,63,,98,83,,35,,17,
1,3,3,42,75,86,81,97,44,84,,44,,86,95,96,46,,14,32,26,43,1,22,55,19,38,33,22,38,,53,,17,51,,61,,54,
1,4,23,59,19,12,40,77,70,26,40,93,10,95,56,69,6,58,84,,11,25,39,94,47,4,98,72,74,75,,70,4,11,37,,16,,79,
0,2,,14,12,74,,16,92,95,19,9,55,54,,,89,,68,,25,67,90,63,17,49,47,84,65,45,,99,,16,16,,41,,38,37
0,4,44,28,91,65,57,41,43,36,,23,,17,46,38,52,,13,,17,75,21,89,,43,,8,28,40,97,15,,43,70,12,16,5,94,
0,3,85,21,,68,3,38,,27,97,64,1,44,48,25,88,53,6,,24,,33,66,3,47,93,5,,14,,86,,61,34,,36,,17,
1,4,89,72,27,34,44,36,24,87,,54,,91,10,28,45,61,46,,3,42,94,15,89,98,,8,27,54,,31,,34,67,68,81,,7,
1,1,20,3,61,89,69,70,74,30,,18,,98,65,65,85,,41,77,48,45,4,86,73,7,,75,64,59,73,61,,86,48,48,69,37,20,
0,3,36,83,65,40,54,85,57,71,93,17,8,86,7,30,82,,7,,17,30,6,4,29,7,71,66,19,29,,75,,55,42,54,28,,46,
0,1,95,61,26,47,40,90,69,57,99,35,53,77,5,15,25,,76,2,59,52,46,68,84,8,29,7,91,33,,15,,85,90,,43,,55,
0,1,,56,56,91,,29,29,36,32,47,70,13,,,38,,100,,39,11,44,29,71,50,62,52,,3,59,68,,9,86,100,6,27,26,
1,1,,84,39,66,,72,82,64,46,98,99,1,,,77,4,45,67,30,57,19,17,,13,51,9,,96,,29,,26,61,32,82,,11,
0,3,89,23,12,100,97,39,44,8,47,90,63,85,21,1,57,,85,,76,3,75,93,90,41,62,26,27,36,,78,,74,23,86,84,,90,
0,4,56,15,2,78,32,32,10,70,24,48,76,43,55,36,64,,70,66,47,48,91,52,16,15,43,52,50,45,,44,,6,30,,78,,45,
0,4,45,62,,60,38,41,,64,91,82,2,46,64,35,9,,74,,76,,27,52,68,3,72,46,94,15,,78,,52,70,67,70,,35,
0,4,31,79,14,96,8,77,39,90,16,6,14,63,1,93,75,,89,,56,52,12,86,,4,1,75,68,61,51,46,,52,90,65,72,58,61,
1,1,49,82,42,75,39,100,99,78,,10,,60,50,45,27,,4,,2,83,11,49,21,91,46,18,29,77,,5,81,50,53,15,12,,33,
0,1,47,44,,80,100,41,,93,1,70,11,37,10,22,57,95,92,40,3,,90,50,6,89,44,80,,28,41,86,,63,94,,95,1,36,
0,3,77,47,64,81,68,43,68,64,34,55,11,92,77,39,17,,30,54,42,60,89,15,,5,,13,73,43,,11,,92,90,,58,,71,
1,4,80,66,5,60,41,54,65,37,46,83,81,43,66,35,17,,47,,85,8,95,56,34,78,,55,,35,,83,,36,77,28,26,,44,
0,4,56,46,99,89,87,1,28,15,18,14,26,12,49,40,51,,42,82,93,42,46,63,96,26,19,63,19,12,,87,,12,72,95,44,,53,
1,2,2,23,,14,73,61,,7,,74,,55,97,34,29,68,68,,11,,95,68,74,89,92,92,79,24,,62,,13,89,50,42,,46,
0,4,27,74,38,72,26,22,63,51,85,100,52,16,5,59,50,,4,,4,37,33,6,65,49,79,90,24,38,1,9,,97,40,,33,9,74,
1,1,74,79,83,54,81,62,19,95,71,56,49,38,35,95,57,,83,,20,25,15,24,68,42,18,4,64,79,1,97,74,26,64,,59,8,42,
0,3,52,78,47,71,16,57,74,79,,43,,4,59,7,81,,32,,62,13,79,77,86,2,,65,37,41,,22,57,46,92,82,11,,63,
1,2,79,66,47,25,51,33,1,82,,54,,72,56,39,93,,17,,4,61,11,21,47,43,,71,75,40,,56,,10,68,8,100,,49,
0,2,53,38,81,61,70,83,48,60,89,45,72,72,16,18,93,,29,,54,62,59,30,,24,50,13,,87,,94,9,25,84,28,89,,64,15
0,3,42,73,,32,32,63,,5,,74,,96,6,58,42,,48,,8,,37,98,,93,3,54,,71,,22,,97,25,,38,,4,
0,4,16,97,2,3,97,66,50,67,88,17,91,21,6,25,57,,30,,92,48,51,28,17,81,,42,,84,,37,,15,41,41,5,,88,
1,2,45,18,45,81,21,47,55,82,64,13,45,13,31,70,17,,61,,30,88,33,11,,96,,48,,51,3,54,,2,79,,8,69,11,
0,2,57,42,13,49,50,70,9,15,20,86,12,40,32,62,53,,25,,93,85,28,33,28,95,45,76,,22,,43,55,20,39,,49,,8,
0,4,71,9,46,38,54,96,52,88,45,28,49,93,48,50,65,,38,,80,80,61,58,41,9,82,74,,60,,96,1,29,96,,29,,84,
0,4,94,15,52,95,51,49,84,53,,74,,76,90,87,99,40,87,,98,89,71,45,,16,49,38,74,10,,54,,22,45,78,58,,26,
1,4,95,47,82,41,82,97,9,35,,34,,87,69,27,19,,75,,61,45,16,11,97,66,81,66,27,26,,74,30,54,19,,2,,15,
1,4,70,65,44,98,34,83,96,66,73,35,5,27,93,84,9,37,25,,66,78,97,3,63,78,100,29,,44,,83,,67,61,,70,,30,
1,2,16,60,37,74,69,81,11,88,62,19,67,81,25,65,85,,55,,46,94,44,10,52,38,81,54,44,18,,56,2,10,34,,89,,55,
1,1,12,31,,29,92,37,,21,63,57,13,24,36,51,6,,50,,48,,56,73,51,9,,36,,13,,10,,15,36,,14,,91,
0,3,,38,62,43,,50,94,56,61,42,61,78,,,77,,60,,69,42,51,79,75,3,76,75,95,41,59,27,48,27,42,63,16,95,20,
1,4,59,29,,21,83,10,,77,57,94,75,99,22,39,34,,9,,20,,28,87,,72,40,34,15,97,,36,,37,15,,59,,25,
0,4,20,6,67,71,67,2,26,1,51,9,85,24,67,39,79,62,92,86,92,59,33,41,25,42,57,37,42,35,,68,,53,61,59,86,,82,
1,2,47,9,44,17,20,62,86,39,12,13,42,56,89,54,69,,56,,28,62,27,83,34,75,95,3,4,3,,42,,33,81,,66,,33,53
1,2,46,12,68,83,41,36,10,93,59,86,16,99,84,56,98,,82,,73,88,52,65,86,76,45,39,,55,58,31,5,15,50,,99,16,45,
0,3,5,31,54,13,10,99,49,86,92,60,74,56,94,52,46,,96,,21,16,32,48,,83,7,61,,59,,57,,5,74,,40,,21,
0,1,36,69,,98,4,84,,63,86,10,13,75,65,58,45,,64,,71,,55,52,31,48,,3,52,79,,79,,76,9,,13,,41,
0,2,91,87,77,82,62,60,71,16,66,84,47,21,66,35,45,,77,,46,12,35,59,95,68,66,50,25,67,,38,,34,89,9,90,,45,
1,3,60,64,,58,83,70,,40,29,14,11,1,28,37,45,,14,95,46,,48,44,74,33,,33,,57,,39,,63,89,,95,,53,
0,1,75,55,49,45,98,12,52,99,15,79,39,52,40,8,1,,20,,29,41,76,4,9,47,93,70,16,100,,97,,33,72,,62,,64,
0,1,66,91,40,65,71,12,43,47,,12,,61,13,12,65,,50,,53,18,27,1,,39,39,31,81,98,,74,77,15,44,,46,,91,
1,2,24,74,10,82,16,94,7,17,,72,,6,5,65,42,13,33,54,96,14,47,81,84,93,48,55,50,82,,76,,64,38,82,60,,1,99
1,3,,5,52,84,,67,4,39,49,49,22,83,,,39,,97,15,99,58,55,39,98,68,,66,,33,,9,,90,75,6,74,,53,
0,1,66,34,95,46,73,64,11,68,33,28,33,59,84,39,42,,33,,66,49,28,36,78,86,9,95,,56,,71,,27,27,,24,,57,
1,2,4,80,51,57,99,3,30,37,85,96,59,63,59,54,51,,17,53,6,38,88,8,51,91,72,93,,77,,26,,80,43,,7,,87,
1,2,2,17,26,62,6,95,69,21,25,61,57,13,17,20,1,63,17,94,43,45,51,82,40,82,,74,2,42,,50,,100,97,100,86,,17,
1,1,9,45,20,37,4,19,54,4,4,13,8,93,60,6,15,,73,79,37,92,16,62,23,70,69,55,35,45,,27,,85,85,49,1,,55,
1,3,,32,22,47,,67,43,88,63,29,65,99,,,27,,46,,39,15,56,3,25,30,82,75,,30,,7,,10,30,,99,,24,
0,2,40,14,61,83,32,78,49,84,69,69,4,47,45,49,6,,83,,39,30,32,84,28,55,,32,91,78,,73,,32,14,61,19,,78,
0,3,40,92,,45,94,34,,61,80,90,3,40,14,39,45,,30,,24,,43,54,36,61,93,29,52,73,,33,,69,62,,41,,71,
1,3,6,21,20,89,89,27,28,74,2,35,89,47,12,38,19,,86,65,82,36,85,47,,96,18,20,61,15,24,90,46,91,99,35,54,62,28,
0,3,98,44,,97,84,39,,56,97,26,56,46,85,42,25,,43,,91,,76,26,92,90,11,9,,27,,20,,75,81,,65,,34,
0,1,23,96,39,72,47,1,14,25,55,77,44,52,36,2,43,,34,65,88,48,79,2,,41,,84,14,15,,10,,37,24,45,74,,75,
0,2,38,15,42,24,76,46,86,44,3,43,56,79,46,71,29,,13,,30,72,20,79,,55,36,89,75,79,,46,,14,64,6,28,,20,
0,1,66,,42,87,66,65,25,29,,52,,52,85,35,22,,93,,8,4,78,91,,35,45,93,,36,,98,53,78,1,,21,,52,
1,1,48,29,42,32,16,49,46,69,76,36,65,76,57,28,32,,50,32,45,10,5,37,,86,82,16,42,18,,22,4,10,60,71,81,,64,33
0,1,57,46,59,33,82,97,21,4,74,73,12,67,11,27,61,6,62,,40,87,53,42,,76,,45,3,99,,85,,51,36,,58,,42,
0,2,80,20,57,72,68,30,76,20,,11,,28,58,20,56,,67,,20,74,95,77,11,36,11,16,33,71,,93,,80,55,44,6,,92,
0,2,,19,44,2,,52,67,65,84,17,35,62,,,7,,59,,5,92,77,26,77,40,,49,21,3,,71,15,82,31,,55,,55,
1,4,33,65,29,30,37,20,42,43,19,85,35,90,58,63,5,,4,,79,31,51,52,52,39,,6,,29,,95,5,68,36,,70,,47,
1,4,91,83,12,55,86,26,78,81,26,23,24,44,69,52,47,39,71,51,18,3,98,29,44,76,28,89,,81,,41,,61,10,,66,,48,
1,3,58,57,18,1,9,76,49,73,91,4,11,47,71,70,96,65,77,74,2,84,61,88,8,19,16,1,1,74,,14,,61,93,,63,,4,
0,1,71,80,31,73,56,7,5,70,,51,,95,46,14,23,,15,16,28,52,84,34,,73,75,20,59,64,,24,,6,9,16,32,,68,
0,3,18,51,,51,67,36,,24,83,2,16,19,58,54,5,,80,67,89,,56,25,47,58,,18,,80,,47,,79,82,,24,,7,
1,3,46,81,21,45,74,4,97,88,1,41,13,100,94,69,2,,9,,90,19,14,96,36,48,,8,,47,,76,58,86,9,,98,,76,
0,4,80,12,53,92,36,35,2,29,82,88,29,75,57,2,26,,15,,7,87,33,97,87,27,96,83,,54,,56,76,84,2,,44,,55,
1,2,37,10,10,87,10,74,9,68,44,62,2,37,6,50,59,,92,33,15,39,56,18,45,49,,27,63,75,16,52,22,1,29,,88,7,95,
1,3,54,,39,9,46,21,76,33,26,50,28,26,97,66,30,,7,,8,77,79,36,44,99,3,59,,36,,32,38,31,45,60,58,,71,
0,2,71,97,75,72,94,66,38,69,64,80,47,45,56,15,36,,10,,42,77,53,59,33,73,,34,11,37,,24,,41,49,37,8,,71,30
1,1,43,65,11,69,7,27,16,56,18,42,20,11,52,97,92,,93,,6,26,6,46,78,34,,74,57,24,,99,,70,47,,61,,17,
1,2,97,1,61,9,49,27,98,20,56,71,85,62,82,50,76,,79,97,99,25,66,23,58,91,82,60,,50,71,82,4,74,59,,51,76,80,
0,1,93,75,6,56,26,63,7,67,43,12,69,49,32,30,32,,96,37,98,52,27,69,67,59,20,17,6,49,,21,,29,98,2,76,,58,
1,4,59,66,63,11,96,94,48,81,33,78,87,64,18,27,34,13,25,83,86,17,68,87,19,60,44,42,62,61,,29,16,94,9,,37,,90,
1,2,37,83,25,84,46,68,43,32,,11,,45,97,38,9,49,12,,66,95,6,1,68,50,25,31,28,56,,75,73,55,56,,95,,76,
1,3,100,37,16,77,33,67,67,1,31,28,40,60,34,10,9,,45,,17,63,75,6,,81,69,73,75,66,,18,,61,14,,13,,45,
0,3,43,42,16,37,84,57,10,50,96,39,39,70,25,87,50,,70,79,52,23,45,84,91,29,96,61,82,54,,56,,24,47,,87,,99,
1,3,36,11,82,32,18,30,71,32,,15,,66,37,99,46,,27,,22,39,11,36,36,4,,34,23,33,,11,,96,65,70,7,,95,
0,2,39,63,2,100,56,60,83,70,5,21,31,22,99,58,11,,83,,96,80,39,87,7,23,11,66,58,28,18,19,,67,11,46,36,7,31,
1,3,30,47,,66,64,69,,65,,56,,17,98,47,70,,28,,70,,26,72,91,1,,15,,23,88,62,,94,39,93,43,31,74,
0,4,53,37,47,48,44,5,8,30,14,79,16,64,94,56,67,91,97,,4,5,38,36,64,62,,54,57,51,,27,57,94,25,,11,,81,
1,1,15,2,65,9,23,49,49,24,31,45,100,68,92,66,90,,41,,93,33,6,85,1,92,70,32,20,36,,13,,82,5,23,81,,16,
0,4,41,98,61,53,38,51,73,28,51,77,85,79,19,56,27,,97,,8,100,36,84,60,34,,54,89,2,,35,84,35,98,6,80,,21,80
1,1,81,91,84,8,82,42,38,95,41,75,100,30,33,14,15,,50,,54,43,66,8,35,6,35,52,,48,,61,,57,67,35,97,,78,
0,4,16,,,100,29,12,,23,61,41,44,19,26,40,77,,1,56,17,,78,64,64,22,10,71,,72,100,39,26,29,12,10,83,58,61,
1,3,31,,96,79,12,23,87,49,26,92,83,29,71,28,27,,49,,46,49,38,79,68,85,16,71,35,53,,50,,25,47,27,69,,31,
0,2,64,32,92,88,38,35,29,52,53,55,76,84,58,76,95,,26,,71,93,22,71,18,75,83,58,85,11,,5,,61,100,38,79,,61,
0,2,57,48,58,62,98,43,49,6,27,15,47,47,87,78,60,13,15,,74,39,41,34,96,65,77,54,65,33,84,83,,31,60,80,85,32,90,
1,3,30,,2,15,61,53,39,23,95,80,52,55,1,31,19,50,37,,31,28,62,70,,22,,69,,9,,77,,63,78,62,35,,61,
1,1,1,2,,58,29,63,,30,33,90,56,65,9,8,25,,24,97,8,,22,46,88,8,,72,66,42,71,45,87,40,9,39,76,44,33,
0,4,63,99,53,48,90,85,71,67,19,76,11,60,14,75,72,,14,20,81,59,81,68,84,89,,71,,51,,80,,37,89,,33,,39,
0,2,40,38,4,2,4,82,45,33,19,46,51,5,59,71,31,,42,27,90,76,62,7,63,46,,43,,8,64,83,96,11,91,,55,13,70,
1,2,40,76,26,49,20,14,4,93,96,17,28,70,76,64,45,,90,,77,11,28,42,43,7,67,84,,16,,83,,65,82,,4,,71,
1,4,22,75,58,18,84,31,21,88,19,67,14,43,73,87,71,,9,69,99,78,38,41,,18,26,96,78,19,79,15,,27,57,,30,72,94,
0,3,16,6,72,66,15,30,25,8,2,28,87,8,45,88,76,,45,,45,75,70,71,4,27,98,28,14,97,34,33,,76,65,90,4,100,12,
0,1,7,8,98,20,21,4,29,86,52,64,33,14,45,44,65,48,73,72,33,55,36,14,65,15,28,45,64,45,,46,,16,38,,96,,24,
0,4,41,51,94,32,42,44,68,85,97,30,72,19,19,5,90,,33,35,31,13,12,36,30,29,,34,38,67,,97,,35,28,49,8,,24,
1,4,90,97,27,75,46,47,22,64,27,32,71,85,19,23,32,,83,,30,42,59,27,,87,86,62,44,65,18,58,,78,4,,48,59,5,
0,1,54,88,43,2,84,40,31,9,,71,,81,78,49,76,,45,,3,100,73,1,31,77,52,67,45,14,,35,,19,65,,62,,26,
1,3,56,24,55,81,67,55,70,1,44,46,45,84,65,82,29,34,29,,46,67,33,68,42,58,42,8,,97,,52,,34,34,,21,,38,26
0,3,22,2,75,13,86,89,40,21,35,100,92,68,56,93,28,82,65,,60,10,34,18,59,69,,15,57,75,,48,,80,91,,4,,41,
0,4,46,4,36,83,35,38,92,55,,93,,36,22,81,37,,22,,41,58,3,76,,16,,39,,25,,77,,70,27,81,38,,8,
1,1,20,67,,64,33,76,,39,57,6,72,54,68,88,6,,85,,15,,61,89,17,50,79,11,43,63,60,70,,85,83,,85,33,49,
0,2,,40,58,16,,50,77,89,81,8,19,81,,,37,,98,,25,15,9,9,61,55,77,14,,76,,96,,96,60,94,19,,81,
0,3,99,12,77,34,93,61,92,70,58,25,59,1,98,93,42,,97,84,56,49,5,76,25,51,64,32,91,90,,62,,61,16,57,55,,82,
1,1,69,59,33,50,30,15,71,77,26,11,39,43,31,80,67,,94,45,96,94,74,39,,78,66,41,55,25,78,100,,33,12,,79,84,73,
1,2,17,78,89,76,43,40,23,31,46,8,47,29,36,30,31,35,89,,12,60,60,54,,51,,21,,61,,58,,20,78,,55,,43,
1,4,65,49,97,75,97,14,74,49,14,61,5,40,80,86,26,,92,,64,40,15,94,75,25,52,9,22,79,,88,20,3,61,42,99,,38,
0,2,1,30,84,44,88,76,14,46,16,69,62,98,66,6,53,,89,,30,49,100,80,33,76,87,6,,33,,66,41,62,72,,13,,99,
1,3,22,57,15,8,38,43,37,41,42,42,56,64,36,1,34,,23,,70,98,7,10,46,86,,57,,31,,79,,39,29,,49,,88,
1,2,3,61,79,13,94,90,55,79,28,89,51,3,67,44,70,,94,95,21,46,61,89,12,47,33,99,,14,,24,,4,24,65,56,,34,
1,2,17,53,70,26,26,99,52,17,,69,,93,73,46,98,,33,66,22,60,56,4,96,4,,20,,64,,20,,29,43,,70,,60,
0,1,26,32,27,69,7,39,79,27,1,33,73,62,42,77,79,55,34,85,60,63,8,51,25,66,69,29,,1,,88,,55,6,100,37,,48,
0,2,,81,17,62,,85,13,73,18,59,74,57,,,57,,14,,77,10,11,22,79,69,90,29,,43,,76,67,35,78,,15,,63,
0,1,12,79,77,84,1,59,14,25,75,40,89,22,55,78,56,,11,15,84,66,54,22,,61,51,86,,16,9,63,,73,46,28,2,59,18,
0,2,58,56,86,25,27,61,33,94,93,94,62,49,46,28,78,83,81,,8,91,62,22,,81,19,3,14,15,,47,,11,72,47,58,,76,
0,2,5,89,,86,29,25,,31,,1,,55,20,78,83,85,13,,47,,22,26,,80,37,15,,54,,70,26,63,46,79,77,,27,
1,3,45,36,73,57,68,24,92,3,20,72,49,16,42,35,22,83,38,,47,80,6,52,98,98,34,2,94,17,,23,,39,6,29,6,,68,
0,1,28,39,17,58,91,20,77,43,,80,,75,86,8,68,,24,,10,77,61,39,42,91,,98,71,53,62,95,,43,55,,69,39,82,
0,4,5,46,84,30,86,77,57,80,90,40,6,61,25,58,3,,37,41,75,73,94,77,55,46,48,67,,15,,81,13,83,11,19,28,,6,
1,4,65,66,46,46,61,98,16,24,,49,,74,62,47,11,53,57,,12,60,85,93,25,25,4,22,,99,,57,,96,86,66,99,,82,
1,1,60,7,34,34,45,75,10,81,11,28,53,69,21,11,15,83,23,,95,70,56,52,13,11,20,46,,89,,48,6,75,17,,88,,53,
